glass_name,property_mode,rank,sciglass_id,distance,primary_plausible,in_mode_a_top20,in_stable_set
P-LASF47,B,4,2830800363268,0.011198089641360274,False,False,False
P-LASF47,B,5,3194900405325,0.012922463519743336,False,False,False
P-LASF47,B,6,3137100403585,0.013246771314041561,False,False,False
P-LASF47,B,7,2757400362105,0.015295281039547321,False,False,False
P-LASF47,B,8,3137100403576,0.016063064203666856,False,False,False
P-LASF47,B,9,3137100403579,0.01685871718602133,False,False,False
P-LASF47,B,10,3865500458607,0.016859117045661485,False,False,False
P-LASF47,B,11,3137100403587,0.01717914990622102,False,False,False
P-LASF47,B,12,3194900405324,0.017934512760313208,False,False,False
P-LASF47,B,13,2953400369130,0.018634858787181192,False,False,False
P-LASF47,B,14,3865500458608,0.019245958981529268,False,False,False
P-LASF47,B,15,3137100403580,0.02209210797149036,False,False,False
P-LASF47,B,16,3194900405320,0.022648117402492035,False,False,False
P-LASF47,B,17,3194900405326,0.025284708575879507,False,False,False
P-LASF47,B,18,2953400369131,0.02535948917514015,False,False,False
P-LASF47,B,19,3194900405319,0.025479326674051964,False,False,False
P-LASF47,B,20,3784800447318,0.026033112249058184,False,False,False
N-SF6,B,1,3548300426188,0.014740970147822658,True,False,False
N-SF6,B,2,3546600425749,0.018663094665010253,False,False,False
N-SF6,B,3,3548700426256,0.02580119217243231,False,False,False
N-SF6,B,4,3548700426248,0.03316136219370222,True,False,False
N-SF6,B,5,2890700367586,0.033857556933578156,False,False,False
N-SF6,B,6,3546600425747,0.033857556933578156,False,False,False
N-SF6,B,7,3546600425757,0.0417905606875145,False,False,False
N-SF6,B,8,3548700426254,0.042427548113328606,True,False,False
N-SF6,B,9,995500087340,0.050066154804971695,False,False,False
N-SF6,B,10,3546500425737,0.05507950558044992,False,False,False
N-SF6,B,11,3548300426186,0.057375370201127845,True,False,False
N-SF6,B,12,2890700367587,0.0597190778358657,False,False,False
N-SF6,B,13,3546600425748,0.0597190778358657,False,False,False
N-SF6,B,14,3546600425751,0.06063664493060449,False,False,False
N-SF6,B,15,3546500425739,0.06191803548250531,False,False,False
N-SF6,B,16,3784300447203,0.06313088109874883,False,False,False
